trial_number,alpha,min_df,max_df,norm,use_idf,smooth_idf,sublinear_tf,accuracy_train,accuracy_test,accuracy_mean
12,0.001344134139061719,201,0.11703950118860534,l2,False,True,False,0.7238375732029015,0.6915138592750533,0.7076757162389774
13,0.0037794811978196785,1,0.13124043878863148,l2,False,True,False,0.7960515384842988,0.6663710021321961,0.7312112703082474
14,0.004205306123604594,3751,0.10169924368913316,l2,False,True,False,0.3445185166639734,0.33466950959488273,0.33959401312942805
15,0.004392083852641705,601,0.281478629345226,l2,False,True,False,0.6807773106852907,0.6521279317697228,0.6664526212275068
16,0.0650171865847465,601,0.5135488411035398,l2,False,True,False,0.6695109488552694,0.641228144989339,0.6553695469223042
17,0.003482205896614122,651,0.18492158433194436,l2,False,True,False,0.6815420576701163,0.6524008528784648,0.6669714552742906
18,0.039198902591858965,1,0.3520876582179642,l2,False,True,False,0.7604839755918255,0.6617484008528784,0.711116188222352
19,0.2599873149965893,3051,0.9967202950140245,l2,False,True,False,0.3563425065037634,0.3456545842217484,0.3509985453627559
20,0.009028894145920454,901,0.21017444383373957,l2,False,True,False,0.6607709833144043,0.632545842217484,0.6466584127659442
21,0.04554233233164034,101,0.3630219132424828,l2,False,True,False,0.7077255377696245,0.6758038379530917,0.6917646878613581
22,0.002544360796493517,351,0.2968317720980259,l2,False,True,False,0.701059038012022,0.671863539445629,0.6864612887288255
23,0.00633617068821487,1,0.1665654894241867,l2,False,True,False,0.7910215062329156,0.66672921108742,0.7288753586601677
24,0.005557653019046768,851,0.15411828228593602,l2,False,True,False,0.6694267356456308,0.6404264392324094,0.6549265874390201
25,0.0019248155235881172,301,0.22572228763124055,l2,False,True,False,0.7091867507584879,0.6788912579957356,0.6940390043771117
26,0.0011119429250598647,451,0.12397371858774914,l2,False,False,False,0.7081989525697547,0.6769466950959488,0.6925728238328518
27,0.015054927612979637,851,0.5405332069578308,l2,False,True,False,0.6470328499798571,0.6206737739872068,0.6338533119835319
28,0.007482234874481524,3401,0.24487677389031273,,False,True,False,0.35100065777344824,0.3425671641791045,0.34678391097627637
29,0.0028804126060059856,351,0.4302019128899217,l1,False,False,False,0.5256429223349364,0.5036759061833689,0.5146594142591526
30,0.41594427988020743,901,0.16184242771696264,l2,False,True,False,0.6639528770191255,0.6353944562899787,0.6496736666545522
31,0.039902598942381295,1,0.36244259647719346,l2,False,True,False,0.760119810360956,0.661680170575693,0.7108999904683244
32,0.005912537166940516,1,0.31781220080698597,l2,False,True,False,0.7836266760135743,0.6600085287846482,0.7218176023991112
33,0.006375693576139863,501,0.16534838123414725,l2,False,True,False,0.6994771952904332,0.6684179104477612,0.6839475528690973
34,0.001767706915277834,251,0.28867272017370005,l2,True,True,False,0.7392212781744397,0.7068486140724947,0.7230349461234672
35,0.0016669590213393072,251,0.2444680557908705,l1,True,True,False,0.5906896606662858,0.5645543710021322,0.577622015834209
36,0.0030644117461728275,2651,0.10195331607593396,,True,False,True,0.3313106989468797,0.3256631130063966,0.32848690597663815
37,0.0017998734849584595,751,0.41686219939902,l2,True,True,False,0.7026659170932331,0.6739957356076759,0.6883308263504545
38,0.0010036230816449104,1651,0.7751697748257858,l1,True,False,True,0.38227562300704887,0.37037100213219615,0.3763233125696225
39,0.018703219280932007,1151,0.16224164008827258,l2,True,True,False,0.612926500076247,0.5887078891257995,0.6008171946010232
40,0.012343035081106296,451,0.2672534544055295,,True,False,True,0.7482571279653861,0.7176631130063966,0.7329601204858913
41,0.012020907476748135,251,0.27002156861538845,,True,False,True,0.7610871242554528,0.7305586353944563,0.7458228798249545
42,0.10989270320119593,401,0.2204687215155534,,True,False,True,0.751930644731781,0.7220980810234542,0.7370143628776176
43,0.10090373046702697,451,0.2287865150937137,,True,False,True,0.7474855528824816,0.7170319829424308,0.7322587679124561
44,0.11857003228475008,1401,0.2394147003609244,,True,False,True,0.45790818939323247,0.44699360341151384,0.4524508964023731
45,0.12192574553844393,1051,0.620263059701383,,True,False,True,0.6704327420959074,0.6449978678038379,0.6577153049498727
46,0.21264133825950768,1901,0.4732233790370829,,True,False,True,0.3966874620187044,0.3864904051172708,0.39158893356798763
47,0.8030824701833481,451,0.3806097779245382,,True,False,True,0.7483572734038751,0.7173731343283583,0.7328652038661168
48,0.9806972612096316,651,0.3808818122701046,,True,False,True,0.7237055633067113,0.6950618336886993,0.7093836984977053
49,2.221168737334282,2151,0.2838746421594894,,True,False,True,0.36975516716322115,0.35981236673773986,0.36478376695048054
50,0.7533748881130775,451,0.31773896097739907,,True,False,True,0.7481524304615111,0.7176289978678039,0.7328907141646575
51,0.7671304088032536,201,0.31022495019740426,,True,False,True,0.7645717303083341,0.7338848614072495,0.7492282958577918
52,3.425652221249628,201,0.3230975661932023,,True,False,True,0.7641506642601414,0.7333390191897654,0.7487448417249534
53,4.733220499188791,201,0.3293470058649508,,True,False,True,0.7639640295793209,0.733049040511727,0.748506535045524
54,4.479949352843025,101,0.2019623945762446,,True,False,True,0.7674099430764223,0.7340042643923241,0.7507071037343732
55,3.696580149118706,101,0.4610936522238701,,True,False,True,0.7679789512496558,0.7341748400852879,0.7510768956674718
56,3.1077214956629153,151,0.48510229408590944,,True,False,True,0.7662013697164746,0.7342771855010661,0.7502392776087703
57,4.844180282886749,151,0.47311744780327,,True,False,True,0.7660761879183633,0.7342430703624734,0.7501596291404183
58,2.8562701874786796,151,0.5965872041494251,,True,False,True,0.7693104303750219,0.7367675906183369,0.7530390104966793
59,1.7377338430512923,151,0.6069881446003003,,True,False,True,0.769446992336598,0.7369040511727079,0.753175521754653
60,2.5194736046391863,651,0.5996325208692175,,True,False,True,0.7280618898809863,0.6991897654584222,0.7136258276697043
61,3.262853403676628,151,0.5833210875240168,,True,False,True,0.7692785659173208,0.7365799573560767,0.7529292616366987
62,1.6039465310583663,151,0.6900319416602387,,True,False,True,0.769446992336598,0.7369722814498934,0.7532096368932457
63,1.5357809061731538,101,0.7073450495167022,,True,False,True,0.7709332416850836,0.7374840085287846,0.7542086251069341
64,1.3732779472560337,101,0.6973225946858873,,True,False,True,0.7709195854889259,0.7375522388059701,0.754235912147448
65,1.3750937188495993,601,0.6936680752828804,,True,False,True,0.7355932820619036,0.7058081023454158,0.7207006922036596
66,1.597313732083941,751,0.7262203283483006,,True,False,True,0.721522847954188,0.6936972281449894,0.7076100380495887
67,1.7514795717892782,351,0.8393999472313604,,True,False,True,0.7593914798992173,0.728545842217484,0.7439686610583507
68,1.2091797275874547,101,0.5767475064881641,,True,False,True,0.7709286896196977,0.737501066098081,0.7542148778588893
69,0.5292822727339708,551,0.5873822684753364,,True,False,True,0.7402113523958658,0.7095778251599147,0.7248945887778903
70,1.169524661485405,3951,0.6652007109112997,,True,False,True,0.3175065606642374,0.3109765458422175,0.31424155325322745
71,3.015656076529083,101,0.5366352101025194,,True,False,True,0.770780747494657,0.7371940298507462,0.7539873886727015
